FacultyID,FacultyName,TeachingSubjects,TeachingExperience
F0001,Faculty_1,CSE202;DS101;ECE202,5
F0002,Faculty_2,ECE101;CS401;CSE101;MATH101,8
F0003,Faculty_3,CS301;CS401;CSE101,12
F0004,Faculty_4,CSE102;ECE102,10
F0005,Faculty_5,ML101;CHEM101,11
F0006,Faculty_6,CSE102;CSE101;CS401;AI101,22
F0007,Faculty_7,CS301;ECE101;CHEM102,13
F0008,Faculty_8,CHEM101;ML101;CSE101,11
F0009,Faculty_9,DS101;PHY102;ML101,9
F0010,Faculty_10,ECE201;CSE202,21
F0011,Faculty_11,PHY101;CHEM102;CSE102,24
F0012,Faculty_12,CSE201;CSE102,19
F0013,Faculty_13,CSE201;CHEM102;BIO101,16
F0014,Faculty_14,MATH101;CSE201;ECE102,12
F0015,Faculty_15,PHY101;CHEM101;CSE202;CSE201,24
F0016,Faculty_16,CSE101;CSE202,5
F0017,Faculty_17,ECE202;CSE202;CSE102;MATH101,23
F0018,Faculty_18,CSE102;MATH101,11
F0019,Faculty_19,CS401;DS101;ECE201;ECE101,2
F0020,Faculty_20,CSE202;CSE101;ECE201;ECE101,6
F0021,Faculty_21,ECE201;ML101,23
F0022,Faculty_22,CSE101;CHEM101;BIO101;MATH101,13
F0023,Faculty_23,AI101;ML101;PHY101;CS301,9
F0024,Faculty_24,ECE101;ECE102;CS301;MATH102,15
F0025,Faculty_25,CSE202;DS101;ECE201,11
F0026,Faculty_26,CS401;CSE201,8
F0027,Faculty_27,CHEM101;ECE101;BIO101,10
F0028,Faculty_28,ML101;CHEM101;DS101;CS301,2
F0029,Faculty_29,CSE101;CSE201;CHEM102,24
F0030,Faculty_30,PHY101;CSE201;ECE202,3
F0031,Faculty_31,PHY102;CS301;CS401;CHEM101,8
F0032,Faculty_32,ML101;MATH101;CSE201;PHY101,13
F0033,Faculty_33,CSE102;CSE201;PHY101;CHEM102,4
F0034,Faculty_34,AI101;CHEM102,12
F0035,Faculty_35,CSE101;CS301,2
F0036,Faculty_36,CSE201;CHEM101;CSE102;ML101,21
F0037,Faculty_37,CSE201;MATH101,7
F0038,Faculty_38,CSE101;ML101,19
F0039,Faculty_39,CS401;CHEM101,22
F0040,Faculty_40,CS301;CSE101;MATH101,18
F0041,Faculty_41,CHEM101;ECE102;ML101;ECE201,4
F0042,Faculty_42,ML101;CSE102;DS101,13
F0043,Faculty_43,CSE102;CHEM101;DS101,2
F0044,Faculty_44,PHY102;MATH101;CS401,24
F0045,Faculty_45,MATH102;PHY101;ECE102;BIO101,2
F0046,Faculty_46,CSE101;CS301;ECE101,25
F0047,Faculty_47,ECE102;CS401;ECE101;CSE102,7
F0048,Faculty_48,BIO101;CS301;ECE202;PHY101,14
F0049,Faculty_49,CS301;CSE201;CHEM101;PHY102,18
F0050,Faculty_50,ECE102;CHEM101;ECE202,5
